key	text	tooltip
#Loc;1;text/db/ui_unit_groupings.loc		
ui_unit_groupings_tooltip_com	Невеликі загони, які захищають полководця в пеклі бою.	true
ui_unit_groupings_onscreen_art_siege	Облогові машини	true
ui_unit_groupings_onscreen_att_inf_axe_land	Піхота з сокирами	true
ui_unit_groupings_onscreen_att_cav_bow_land	Кінні лучники	true
ui_unit_groupings_tooltip_att_special_grenade_marine	Цей загін може жбурляти в супротивника посудини з нафтою, що завдають нищівної шкоди, але через малочисельність він дуже вразливий.	true
ui_unit_groupings_onscreen_att_art_warwagon	Бойовий візок	true
ui_unit_groupings_onscreen_att_inf_spear_land	Піхота зі списами	true
ui_unit_groupings_onscreen_att_cav_melee_land	Кіннота б. бою	true
ui_unit_groupings_onscreen_att_inf_axe_naval	Штурмовий корабель	true
ui_unit_groupings_onscreen_att_inf_bow_naval	Корабель з лучниками	true
ui_unit_groupings_onscreen_inf_sling	Пращники	true
ui_unit_groupings_onscreen_att_inf_axe_marine	Піхота з сокирами	true
ui_unit_groupings_tooltip_att_inf_sling_land	Стрільці для середніх дистанцій, здатні дуже швидко перезаряджати свою зброю.	true
ui_unit_groupings_onscreen_att_special_grenade_naval	Корабель з мет. нафтою	true
ui_unit_groupings_onscreen_att_inf_gun_land	Піхота з вогнепальною зброєю	true
ui_unit_groupings_tooltip_att_inf_sword_land	Бійці першої лінії завжди готові до рукопашної.	true
ui_unit_groupings_onscreen_att_special_grenade_land	Метальники нафти	true
ui_unit_groupings_onscreen_att_inf_bow_marine	Піхота з луками	true
ui_unit_groupings_onscreen_ltd_medieval_tent	Намет	true
ui_unit_groupings_onscreen_att_inf_polearm_shock_land	Ударна піхота	true
ui_unit_groupings_onscreen_att_art_field_land	Артилерія	true
ui_unit_groupings_tooltip_att_cav_shock_land	Вдаривши з флангу або в тил, вони розтрощать будь-яку піхоту.	true
ui_unit_groupings_onscreen_att_inf_sling_land	Пращники	true
ui_unit_groupings_tooltip_att_inf_axe_marine	Передовий загін, навчений рукопашному бою.	true
ui_unit_groupings_tooltip_att_inf_bow_marine	Ці загони підтримують піхоту здалеку, але в ближньому бою ні на що не здатні.	true
ui_unit_groupings_onscreen_att_special_transportship_naval	Вантажний корабель	true
ui_unit_groupings_tooltip_ltd_medieval_tent	.	true
ui_unit_groupings_onscreen_att_inf_bow_land	Піхота з луками	true
ui_unit_groupings_onscreen_att_inf_sword_land	Піхота ближнього бою	true
ui_unit_groupings_tooltip_att_inf_polearm_shock_land	Суворі солдати передових шеренг, озброєні чудовою бронебійною зброєю.	true
ui_unit_groupings_tooltip_att_special_grenade_naval	Цей загін може жбурляти в супротивника посудини з нафтою, що завдають нищівної шкоди, але через малочисельність він дуже вразливий.	true
ui_unit_groupings_onscreen_att_cav_shock_land	Ударна кіннота	true
ui_unit_groupings_tooltip_inf_sling	placeholder	true
ui_unit_groupings_tooltip_att_art_field_land	Метальні машини б'ють на великі відстані і завдають величезної шкоди, їх навіть можна повільно рухати по полю бою, проте вони дуже вразливі в ближньому бою.	true
ui_unit_groupings_tooltip_att_inf_axe_naval	Передовий загін, навчений рукопашному бою.	true
ui_unit_groupings_tooltip_att_inf_bow_naval	Ці загони підтримують піхоту здалеку, але в ближньому бою ні на що не здатні.	true
ui_unit_groupings_tooltip_att_inf_spear_land	Важкі, добре захищені щитники відмінно витримують навіть удар кінноти.	true
ui_unit_groupings_onscreen_att_special_grenade_marine	Метальники нафти	true
ui_unit_groupings_tooltip_art_siege	Величезні облогові машини створені спеціально для того, щоб зносити стіни і вибивати ворота.	true
ui_unit_groupings_tooltip_att_cav_melee_land	Це легкі, маневрені вершники. Втім, навіть щити не захистять їх від більш сильних військ.	true
ui_unit_groupings_onscreen_shp_art	Корабель з далекобійними машинами	true
ui_unit_groupings_tooltip_att_special_grenade_land	Цей загін може жбурляти в супротивника посудини з нафтою, що завдають нищівної шкоди, але через малочисельність він дуже вразливий.	true
ui_unit_groupings_onscreen_carroccio	Карроччо	true
ui_unit_groupings_onscreen_shp_trn	Вантажний корабель	true
ui_unit_groupings_tooltip_att_inf_gun_land	Вогнепальні загони, здатні пробити будь-яку броню на середніх дистанціях, але вкрай повільно перезаряджають свою зброю.	true
ui_unit_groupings_onscreen_art_fix	Стаціонарна далекобійна машина	true
ui_unit_groupings_onscreen_art_fld	Далекобійна машина	true
ui_unit_groupings_onscreen_inf_spr	Піхота зі списами	true
ui_unit_groupings_tooltip_att_inf_sling_naval	Стрільці для середніх дистанцій, здатні дуже швидко перезаряджати свою зброю.	true
ui_unit_groupings_tooltip_att_inf_axe_land	Передовий загін, навчений рукопашному бою.	true
ui_unit_groupings_tooltip_att_cav_bow_land	Ці кінні лучники швидко рухаються, стріляють здалеку й завдають ворогові чимало лиха, проте стають вразливими, якщо втягнуться в ближній бій.	true
ui_unit_groupings_tooltip_att_special_fireship_naval	Може підпалювати інші кораблі.	true
ui_unit_groupings_tooltip_att_art_warwagon	Нерухомі вози, що утворюють нездоланний бойовий порядок.	true
ui_unit_groupings_tooltip_att_special_greek_fire_land	Вивергаючи полум'я, яке неможливо загасити, ці загони здатні спалити будь-якого ворога дотла, прирікаючи його на мученицьку смерть. Однак, вони нечисленні і не здатні взяти з собою велику кількість палива.	true
ui_unit_groupings_tooltip_att_inf_pike_land	Завдяки довгим пікам вони майже незнищенні при атаці в лоб, але вразливі, якщо зайти до них у фланг. Виключно ефективні в бою проти кінноти.	true
