key	text	tooltip
#Loc;1;text/db/ui_unit_stats.loc		
ui_unit_stats_onscreen_name_stat_bonus_vs_infantry	Атака проти піхоти	true
ui_unit_stats_onscreen_name_stat_melee_damage_base	Базова шкода в ближньому бою	true
ui_unit_stats_onscreen_name_stat_charge_bonus	Посил. натиску	true
ui_unit_stats_tooltip_text_stat_capture_power	Швидкість, з якою загін захоплює точки в битвах за поселення.	true
ui_unit_stats_tooltip_text_stat_charge_bonus	Величина, на яку при натиску підвищується шкода і ефективність атаки в ближньому бою. Не впливає на силу натиску.	true
ui_unit_stats_onscreen_name_stat_reloading	Швидкострільність	true
ui_unit_stats_tooltip_text_stat_bonus_vs_elephants	Бонус, який отримує загін, борючись у ближньому бою проти слонів.	true
ui_unit_stats_onscreen_name_stat_weapon_range	Дальність	true
ui_unit_stats_tooltip_text_stat_weapon_range	Велика дальність дозволяє вражати ворога здалеку, але на невеликі відстані зброя все одно б'є точніше.	true
ui_unit_stats_onscreen_name_stat_men_count	Чисельність	true
ui_unit_stats_tooltip_text_stat_melee_defence	Шанс влучання по бійцях загону в ближньому бою.||Цей параметр відповідає тільки за ближній бій, але не за захист від снарядів!	true
ui_unit_stats_onscreen_name_stat_bonus_vs_elephants	Атака проти слонів	true
ui_unit_stats_tooltip_text_stat_speed	Швидкість, з якою загін переміщається по полю бою.	true
ui_unit_stats_tooltip_text_stat_ship_health	Міцність	true
ui_unit_stats_tooltip_text_stat_ammo	Кількість боєприпасів, які цей загін може взяти на битву.||Коли ці боєприпаси закінчаться, загону доведеться вступити в ближній бій.||Після бою боєприпаси повністю відновлюються.	true
ui_unit_stats_onscreen_name_stat_ship_health	Міцність	true
ui_unit_stats_tooltip_text_stat_melee_attack	Шанс бійців цього загону влучити у ворога в ближньому бою.||Загартовані в боях бійці отримують все більше досвіду, підвищуючи свої навички та вміння.	true
ui_unit_stats_onscreen_name_stat_first_strike	Перший удар	true
ui_unit_stats_onscreen_name_stat_ammo	Боєприпаси	true
ui_unit_stats_tooltip_text_stat_missile_damage_base	Базова шкода в дальньому бою	true
ui_unit_stats_tooltip_text_stat_first_strike	Визначає, хто першим завдає удар у бою.	true
ui_unit_stats_onscreen_name_stat_missile_damage_base	Базова шкода від пострілів	true
ui_unit_stats_onscreen_name_stat_melee_attack	Ближній бій	true
ui_unit_stats_tooltip_text_stat_shield_armour	Шкода зменшена завдяки щиту.	true
ui_unit_stats_onscreen_name_scalar_bracing	Стійкість до натиску	true
ui_unit_stats_tooltip_text_stat_weapon_damage	Шкода, що завдається зброєю загону: базова і крізь обладунки.||Шкода крізь обладунки завдається завжди, від базової шкоди обладунки можуть захистити.	true
ui_unit_stats_onscreen_name_stat_missile_block_chance	Шанс захисту від стрільців	true
ui_unit_stats_onscreen_name_stat_missile_damage_ap	Шкода крізь обладунки	true
ui_unit_stats_tooltip_text_stat_missile_block_chance	Шанс відбиття щитом шкоди від стрілецької зброї (за винятком далекобійних машин). (%)	true
ui_unit_stats_onscreen_name_stat_spotting	Огляд	true
ui_unit_stats_tooltip_text_stat_shield_defence	Перевага в захисті або ухиленні, що надається щитом.	true
ui_unit_stats_onscreen_name_stat_accuracy	Точність	true
ui_unit_stats_tooltip_text_stat_reloading	Швидкість стрільби загону.||Швидкість зростає з досвідом.	true
ui_unit_stats_onscreen_name_scalar_entity_charge_speed_modifier	Швидкість натиску	true
ui_unit_stats_tooltip_text_stat_accuracy	Імовірність влучання у ворога при стрільбі.	true
ui_unit_stats_tooltip_text_stat_health	Визначає, скільки влучень може витримати загін, виходячи з його броні та захисту в ближньому бою.	true
ui_unit_stats_tooltip_text_stat_spotting	Відстань, на якій бойова одиниця може виявляти ворогів.	true
ui_unit_stats_onscreen_name_stat_ship_douse_fire	Гасіння пожежі	true
ui_unit_stats_tooltip_text_stat_ship_douse_fire	Гасіння пожежі	true
ui_unit_stats_tooltip_text_stat_remaining_ammo	Поповнення боєзапасу кораблів.	true
ui_unit_stats_onscreen_name_stat_bonus_vs_cavalry	Атака проти кінноти	true
ui_unit_stats_onscreen_name_scalar_entity_deceleration_modifier	Уповільнення	true
ui_unit_stats_onscreen_name_scalar_entity_acceleration_modifier	Прискорення	true
ui_unit_stats_tooltip_text_stat_armour	Стійкість загону до обстрілу і атак в ближньому бою.	true
ui_unit_stats_tooltip_text_stat_bonus_vs_cavalry	Перевага, яку отримує загін, борючись в ближньому бою проти кінноти і слонів.	true
ui_unit_stats_tooltip_text_stat_bonus_vs_infantry	Бонус, який отримує загін, борючись в ближньому бою проти піхоти.	true
ui_unit_stats_tooltip_text_stat_melee_damage_base	Основна шкода в ближньому бою	true
ui_unit_stats_tooltip_text_stat_ship_health_fire	Шкода від вогню, яку може витримати корабель, перш ніж загориться.	true
ui_unit_stats_onscreen_name_stat_ship_health_fire	Захист від вогню	true
ui_unit_stats_tooltip_text_stat_morale	Загін з високим бойовим духом з меншою ймовірністю тікає перед обличчям небезпеки. Бойовий дух зростає у міру участі в битвах.	true
ui_unit_stats_tooltip_text_stat_defence	Оборонні можливості загону	true
ui_unit_stats_onscreen_name_stat_defence	Захист	true
ui_unit_stats_tooltip_text_stat_attack	Наступальні можливості загону	true
ui_unit_stats_tooltip_text_stat_missile_damage	Постріли можуть завдавати три види шкоди: базову, крізь обладунки і від вибуху.||Шкода крізь обладунки завдається завжди, два інших види шкоди можуть бути заблоковані обладунками.||Шкода від вибуху має певний радіус ураження.	true
ui_unit_stats_tooltip_text_stat_hiding	Уміння загону ховатися.	true
ui_unit_stats_onscreen_name_stat_capture_power	Ефективність захоплення	true
ui_unit_stats_onscreen_name_stat_shield_armour	Броня щита	true
ui_unit_stats_tooltip_text_scalar_bracing	Вага кожного воїна в загоні.	true
ui_unit_stats_onscreen_name_stat_ship_move_speed	Швидкість	true
ui_unit_stats_onscreen_name_stat_weapon_damage	Шкода в ближ. бою	true
ui_unit_stats_tooltip_text_stat_ship_move_speed	Швидкість руху кораблів.	true
ui_unit_stats_tooltip_text_scalar_spotting_range	Змінює відстань, на якій загін за замовчуванням помічає тих, хто сховався.	true
ui_unit_stats_onscreen_name_scalar_spotting_range	Дальність огляду	true
ui_unit_stats_tooltip_text_stat_melee_damage_ap	Шкода броні в ближ. бою	true
ui_unit_stats_onscreen_name_stat_melee_damage_ap	Шкода крізь броню	true
ui_unit_stats_onscreen_name_stat_hiding	Маскування	true
ui_unit_stats_onscreen_name_stat_missile_damage	Шкода снарядами	true
ui_unit_stats_tooltip_text_stat_missile_damage_ap	Пробиття обладунків у дальньому бою	true
ui_unit_stats_onscreen_name_stat_attack	Атака	true
ui_unit_stats_onscreen_name_stat_morale	Бойовий дух	true
ui_unit_stats_tooltip_text_stat_men_count	Чисельність загону за замовчуванням.	true
ui_unit_stats_onscreen_name_stat_health	Здоров'я	true
ui_unit_stats_onscreen_name_stat_melee_defence	Захист у ближньому бою	true
ui_unit_stats_tooltip_text_scalar_entity_charge_speed_modifier	Швидкість, яку розвиває загін на фінальному етапі натиску.	true
ui_unit_stats_onscreen_name_stat_speed	Швидкість	true
ui_unit_stats_onscreen_name_stat_shield_defence	Ефективність щитів	true
ui_unit_stats_onscreen_name_stat_armour	Броня	true
ui_unit_stats_tooltip_text_scalar_entity_deceleration_modifier	Темп, в якому бойова одиниця знижує швидкість.	true
ui_unit_stats_tooltip_text_scalar_entity_acceleration_modifier	Темп, в якому бойова одиниця набирає швидкість.	true
ui_unit_stats_onscreen_name_stat_remaining_ammo	Додані боєприпаси	true
