key	text	tooltip
#Loc;1;text/db/uied_component_texts.loc		
uied_component_texts_localised_string_casualties_inflicted_tx_NewState_Text_140064	Завдано втрат	true
uied_component_texts_localised_string_tx_text_NewState_Text_6f003b	Низьк.	true
uied_component_texts_localised_string_tx_text_NewState_Text_700025	Нейтралітет	true
uied_component_texts_localised_string_sort_skill_selected_up_Tooltip_530064	За рангом	true
uied_component_texts_localised_string_button_decimate_Tooltip_770001	Загартуйте свою армію жорсткими методами, вистежуючи і страчуючи дезертирів.	true
uied_component_texts_localised_string_button_txt_twitch_Text_6b005e	Twitch	true
uied_component_texts_localised_string_recruitment_tx_subtitle_NewState_Text_530062	Місцевий набір	true
uied_component_texts_localised_string_tx_queue_NewState_Text_390009	Вибрані оборонні споруди	true
uied_component_texts_localised_string_tx_descr_NewState_Text_570040	Підходить для швидкорухливих армій з великою кількістю кавалерії	true
uied_component_texts_localised_string_tx_other_Tooltip_1a0063	Дохід, отриманий з інших джерел, таких як виплати від дипломатичних переговорів і васалів.	true
uied_component_texts_localised_string_pip_trade_naval_trading_Tooltip_78003b	Торгівля	true
uied_component_texts_localised_string_activate_ping_Tooltip_79006c	Активувати поклик||Поклик використовується для надання вказівок вашим союзникам. Ця кнопка відображає різні режими поклику.	true
uied_component_texts_localised_string_StatusIcon_Garrisoned_Tooltip_6a0056	В гарнізоні	true
uied_component_texts_localised_string_button_defensive_Tooltip_690058	Захисний	true
uied_component_texts_localised_string_copy_of_tx_type_NewState_Text_79005a	Багатство	true
uied_component_texts_localised_string_panel_heading_Tooltip_210046	Тут відображаються статистичні дані для вас та вашого супротивника в бою.||Щоб дізнатись, скільки досвіду отримав той чи інший загін, натисніть на кнопку статистики.	true
uied_component_texts_localised_string_PH_text_NewState_Text_3b007a	Щедрий дар	true
uied_component_texts_localised_string_tx_queue_NewState_Text_4c006c	Облогові машини	true
uied_component_texts_localised_string_button_minimise_Tooltip_560070	Закрити вікно	true
uied_component_texts_localised_string_legacy_name_Tooltip_30054qp	Назва армії. Клацніть лівою кнопкою миші, щоб перейменувати.	true
uied_component_texts_localised_string_total_food_NewState_Text_250065	Всього їжі	true
uied_component_texts_localised_string_DY_text_NewState_Text_3c0079	Завершити хід? Наступні питання залишаються невирішеними:	true
uied_component_texts_localised_string_abandon_subpanel_Tooltip_680060	ЛКМ - скасувати залишення	true
uied_component_texts_localised_string_60_tx_NewState_Text_14006d	40 хвилин	true
uied_component_texts_localised_string_save_date_NewState_Text_25002e	12/02/2008	true
uied_component_texts_localised_string_merceneries_tx_subtitle_NewState_Text_4d0019	Доступні найманці	true
uied_component_texts_localised_string_tx_total_attitude_NewState_Text_5c0047	Загальна оцінка ставлення:	true
uied_component_texts_localised_string_general_details_tx_title_NewState_Text_25001c	Деталі провінції	true
uied_component_texts_localised_string_offer_hostage_tx_NewState_Text_5f0064	Запропонувати заручника	true
uied_component_texts_localised_string_panel_heading_Tooltip_630036	Умови перемоги змінюються залежно від режиму гри та налаштувань.	true
uied_component_texts_localised_string_DY_text_NewState_Text_330048	Тепер ви можете транслювати свій ігровий процес через Twitch.tv! Увійдіть через параметри трансляції, а потім скористайтеся кнопкою трансляції у верхньому лівому куті, щоб транслювати свій ігровий процес!	true
uied_component_texts_localised_string_tx_public_order_NewState_Text_610042	Добробут і дохід	true
uied_component_texts_localised_string_tx_trade_NewState_Text_520017	Торгівля	true
uied_component_texts_localised_string_offer_regions_tx_NewState_Text_410072	Запропонувати регіони	true
uied_component_texts_localised_string_button_gift_unit_Tooltip_72001b	Даровані загони||Клацніть, щоб передати вибрані загони під контроль глядача. Той може повернути їх вам, вибравши і клацнувши тут ще раз.	true
uied_component_texts_localised_string_ships_captured_tx_NewState_Text_3b006ac	Захоплено кораблів	true
uied_component_texts_localised_string_tx_title_NewState_Text_6f002d	Історія	true
uied_component_texts_localised_string_friends_Tooltip_730032	Друзі	true
uied_component_texts_localised_string_option2_text_tx_decline(breaks_alliance)_Text_50045	Відмовитися (розірвати союз)	true
uied_component_texts_localised_string_resource_Tooltip_420063	Необхідний ресурс недоступний.	true
uied_component_texts_localised_string_string_Tooltip_5b000ahdb	Відобразити повідомлення, пов'язане з цією подією.	true
uied_component_texts_localised_string_disembark_timer_Tooltip_7d0040	Наші воїни втрачають волю до перемоги через те, що ці землі захоплені ворогом! Якщо ви негайно не почнете висадку, армія може втекти!	true
uied_component_texts_localised_string_stat_bar_Tooltip_5b006d	Ви повинні будете платити цю суму кожного ходу, поки у вас є цей загін.||Якщо ви не використовуєте цей підрозділ, може бути дешевше розпустити його і найняти інший пізніше, ніж платити за його утримання.	true
uied_component_texts_localised_string_dy_event_NewState_Text_3c0077	Втрачено провінцій	true
uied_component_texts_localised_string_dy_kills_Tooltip_320036	Ворогів, вбито цим загоном.||Вбивства ворогів зараховуються до досвіду загону.	true
uied_component_texts_localised_string_no_settlement_icon_NewState_Tooltip_70072	Ця фракція не має поселень.	true
uied_component_texts_localised_string_button_retreat_inactive_Tooltip_45006a	Ви не можете відступити.	true
uied_component_texts_localised_string_dy_cost_Tooltip_33004c	Вартість робочої сили	true
uied_component_texts_localised_string_button_lock_chat_Tooltip_660034	Увімкнути/вимкнути мінімалістичний режим	true
uied_component_texts_localised_string_button_maintain_blockade_Tooltip_220012	Встановити блокаду	true
uied_component_texts_localised_string_tx_atwar_NewState_Text_51003a	Війна:	true
uied_component_texts_localised_string_tx_end_treasury_NewState_Text_510011u	Скарбниця в кінці ходу	true
uied_component_texts_localised_string_pip_status_client_state_Tooltip_1a003a	Ваш васал	true
uied_component_texts_localised_string_dy_spectator_open_Text_1e006f	Відчинено	true
uied_component_texts_localised_string_Flags_Tooltip_40042	Ваша фракція та її лідер на момент збереження.	true
uied_component_texts_localised_string_button_txt_game_Text_4002a	Гра	true
uied_component_texts_localised_string_button_sea_raid_Tooltip_400009	Морський наліт	true
uied_component_texts_localised_string_tx_title_NewState_Text_290074	Прогноз торгівлі	true
uied_component_texts_localised_string_checkbox_passworded_selected_down_off_Tooltip_310013	Ігри із паролем показані.||Натисніть на це поле, щоб приховати ігри із паролем.||Паролі обмежують коло осіб, які можуть приєднатися до гри.	true
