key	text	tooltip
#Loc;1;text/db/unit_abilities.loc		
unit_abilities_tooltip_text_steady_advance	Неухильне просування||	true
unit_abilities_tooltip_text_steady_retreat	Неухильність||Підвищення обороноздатності загону ціною його маневреності.	true
unit_abilities_tooltip_text_com_force_concentration	Зосередження сил||Направте на союзні загони, щоб значно поліпшити їх і надовго зробити їх незламними. Може використовуватися тільки один раз за бій.	true
unit_abilities_tooltip_text_att_ramming_speed	Швидкість тарана||Підвищення швидкості руху корабля з метою нанести більшої шкоди при таранному ударі.	true
unit_abilities_tooltip_text_com_taunt_group	Групова провокація||	true
unit_abilities_tooltip_text_precision_shot	Влучний постріл||Тривале збільшення шкоди від пострілів. Значення можуть змінюватися в залежності від характеристик загону.	true
unit_abilities_tooltip_text_com_inspire_group	Натхнення (група)||З цим умінням ваш полководець зможе ненадовго поліпшити бойову майстерність будь-яких союзних загонів, які опиняться в зоні його впливу.	true
unit_abilities_tooltip_text_frenzy	Несамовитість||Тривале поліпшення наступальних навичок загону.	true
unit_abilities_tooltip_text_a_mp_test_15	Оточення і придушення||Загін будується в кільце, пропускаючи ворогів всередину, але не випускаючи назовні. Всім військам, що потрапили в кільце, завдається нищівна масова шкода.	true
unit_abilities_tooltip_text_a_mp_test_14	Парусне судно з платформою||Цей корабель - громіздке і висотне парусне судно з платформою на носі і кормі, справжня плавуча фортеця.	true
unit_abilities_tooltip_text_a_mp_test_17	Щити вгору||Бійці загону піднімають щити, що підвищує шанси відбиття стрілецьких атак.	true
unit_abilities_tooltip_text_a_mp_test_16	Спішування||Верховий загін спішується і в ближньому бою діє як піхота. Ця дія незворотна - коні тікають відразу після спішування, кіннота стає піхотою.	true
unit_abilities_tooltip_text_a_mp_test_11	Веслове судно||Цей корабель - низькопалубне веслове судно, чий екіпаж і веслярі знаходяться на виду і вразливі для будь-якої далекобійної зброї.	true
unit_abilities_tooltip_text_a_mp_test_10	Готовність солдатів||Загін стає в бойову стійку, що зводить нанівець натиск противника і відбиває його початкову атаку.	true
unit_abilities_tooltip_text_a_mp_test_13	Вітрильне судно||Цей корабель - високопалубне вітрильне судно, висота якого дає йому перевагу проти абордажу ворога.	true
unit_abilities_tooltip_text_a_mp_test_12	Веслове судно з платформою||Цей корабель являє собою веслове судно з піднятою бойовою платформою для отримання переваги в бою.	true
unit_abilities_tooltip_text_form_testudo_defensive	Нерухома черепаха||Воїни цього загону змикають ряди і піднімають щити над головами, позбавляючи себе можливості переміщатися. Це шикування призначене для оборони.	true
unit_abilities_tooltip_text_warcry	Бойовий клич||	true
unit_abilities_tooltip_text_com_we_stand_and_fight	Ні кроку назад||Охоронці встають навколо полководця, причому їх захисні властивості поліпшуються. \\n\\n[[col:green]]Захисні властивості[[/col]]	true
unit_abilities_tooltip_text_cantabrian_circle	Кантабрійське коло||Воїни загону скачуть навколо ворога, обстрілюючи його.	true
unit_abilities_tooltip_text_light_infantry_behaviour	Стиль легкої піхоти||	true
unit_abilities_tooltip_text_com_relentless	Невблаганність||Ваш полководець трохи збільшує боєздатність всіх загонів, тимчасово знімаючи їх втому. Може використовуватися тільки один раз за бій.	true
unit_abilities_tooltip_text_att_gen_presence_02	Натхнення II||Прискорення відновлення здібностей союзників, що знаходяться в зазначеній ділянці.	true
unit_abilities_tooltip_text_att_gen_presence_03	Натхнення III||Прискорення відновлення здібностей союзників, що знаходяться в зазначеній ділянці.	true
unit_abilities_tooltip_text_att_gen_presence_01	Натхнення I||Прискорення відновлення здібностей союзників, що знаходяться в зазначеній ділянці.	true
unit_abilities_tooltip_text_att_gen_presence_04	Натхнення IV||Прискорення відновлення здібностей союзників, що знаходяться в зазначеній ділянці.	true
unit_abilities_tooltip_text_att_gen_presence_05	Натхнення V||Прискорення відновлення здібностей союзників, що знаходяться в зазначеній ділянці.	true
unit_abilities_tooltip_text_form_pike_wall	Стіна пік||Загін змикає ряди і готується до оборони.	true
unit_abilities_tooltip_text_kill_elephants	Убивство слонів||Погоничі вбивають своїх слонів за допомогою спеціальних кілків. Слід використовувати лише в разі, якщо слони скаженіють.	true
unit_abilities_tooltip_text_form_flying_wedge	Легкий клин||Загін шикується легким клином. Це шикування призначене для атаки.	true
unit_abilities_tooltip_text_com_second_wind	Друге дихання||Зняття всіх ефектів втоми з вказаного дружнього загону.	true
unit_abilities_tooltip_text_screech	Страхітливі||Тривале зниження бойового духу ворожого загону.	true
unit_abilities_tooltip_text_com_inspire_unit	Натхнення||Короткочасне поліпшення бойових навичок зазначених дружніх загонів.	true
unit_abilities_tooltip_text_form_shield_wall	Стіна щитів||Воїни загону змикають ряди і піднімають щити.	true
unit_abilities_tooltip_text_com_war_cry_group	Бойовий клич (група)||Ненадовго знижує бойовий дух загонів противника в зоні дії вашого полководця.	true
unit_abilities_tooltip_text_com_unity	Єдність племен||Ваш полководець трохи, але надовго підвищує бойовий дух всіх загонів. Може використовуватися тільки один раз за бій.	true
unit_abilities_tooltip_text_att_gen_inspire_04	Натхнення IV||Короткочасне поліпшення наступальних і стрілецьких навичок зазначених дружніх загонів.	true
unit_abilities_tooltip_text_att_gen_inspire_05	Натхнення V||Короткочасне поліпшення наступальних і стрілецьких навичок зазначених дружніх загонів.	true
unit_abilities_tooltip_text_att_gen_inspire_02	Натхнення II||Короткочасне поліпшення наступальних і стрілецьких навичок зазначених дружніх загонів.	true
unit_abilities_tooltip_text_att_gen_inspire_03	Натхнення III||Короткочасне поліпшення наступальних і стрілецьких навичок зазначених дружніх загонів.	true
unit_abilities_tooltip_text_att_gen_inspire_01	Натхнення I||Короткочасне поліпшення наступальних і стрілецьких навичок зазначених дружніх загонів.	true
unit_abilities_tooltip_text_com_push	Удар||Короткочасне зниження стійкості до натиску і захисту в ближньому бою зазначеного загону противника.	true
unit_abilities_tooltip_text_com_fast_charge	Швидкий натиск||Тривале підвищення швидкості переміщення і натиску зазначених дружніх загонів. Може використовуватися тільки один раз за бій.	true
unit_abilities_tooltip_text_com_shock_and_awe	Морська хвороба||Люди, не звиклі до морської стихії, гірше б'ються на палубі корабля.	true
unit_abilities_tooltip_text_form_pike_square	Квадрат||Воїни загону шикуються в зімкнутий квадрат. Зверніть увагу: під час дії цього вміння загін не може пересуватись.	true
unit_abilities_tooltip_text_fire_and_advance	Стрільба в русі||	true
unit_abilities_tooltip_text_com_brace	Готовність||Короткочасне підвищення стійкості зазначених дружніх загонів до натиску ворога.	true
