key	text	tooltip
#Loc;1;text/db/unit_attributes.loc		
unit_attributes_bullet_text_cant_run	Не бігають||Ці бійці не можуть перейти на біг і пересуваються тільки кроком.	true
unit_attributes_bullet_text_scare_elephant	Лякають слонів||Цей загін може змусити втекти бойових слонів.	true
unit_attributes_bullet_text_raider	Нальотник||Може автоматично підпалювати споруди.	true
unit_attributes_bullet_text_ignore_ground_move_mod	Не сповільнюються||Швидкість пересування цього загону не залежить від типу місцевості.	true
unit_attributes_bullet_text_all_ranks_fire	Стріляють всі ряди||Всі воїни цього загону можуть вести вогонь зі зброї, яка зазвичай дозволяє стріляти тільки першому ряду бійців.	true
unit_attributes_bullet_text_campaign_stealth	Маскуються на мапі||Цей загін може переміщатися по мапі кампанії, залишаючись непоміченим.	true
unit_attributes_bullet_text_charge_reflector_vs_large	Відбиття натиску великих ворогів||При відбитті натиску великих ворогів у цього загону підвищується сила атаки в ближньому бою і збільшується завдана шкода.	true
unit_attributes_bullet_text_boarding	Йдуть на абордаж||Використавши таран, команда піде на абордаж.	true
unit_attributes_bullet_text_guerrilla_deploy	Автономність||Цей загін можна розміщувати за межами зони розташування військ.	true
unit_attributes_bullet_text_run_amok	Бойове безумство||Цей загін у складній ситуації може впасти в бойове безумство.	true
unit_attributes_bullet_text_mounted_fire_move	Стрільба в русі||Цей загін може вести стрільбу з сідла і в русі.	true
unit_attributes_bullet_text_mighty_knockback	Відплатний удар||Цей загін завдає додаткової шкоди, коли відкидає ворога.	true
unit_attributes_bullet_text_scare_all	Вселяють страх||Цей загін наводить жах на всіх ворогів.	true
unit_attributes_bullet_text_charge_reflector	Майстри відбивати натиск||Підвищена сила атаки в ближньому бою і завдана шкода проти ворожої атаки.	true
unit_attributes_bullet_text_impetuous	Нестримні||Бойовий дух цього загону в запалі бою додатково підвищується.	true
unit_attributes_bullet_text_berserk	Берсерки||Під час бою воїни можуть впасти в бойове безумство. Це робить їх некерованими: вони автоматично нападають на найближчого ворога.	true
unit_attributes_bullet_text_snipe	Стріляють з засідки||Цей загін зберігає непомітність, ведучи стрільбу.	true
unit_attributes_bullet_text_stalk	Маскуються на ходу||Цей загін може переміщатися по будь-якій місцевості, залишаючись непоміченим.	true
unit_attributes_bullet_text_formed_attack	Атака в строю||Цей загін намагається зберігати бойовий порядок в ближньому бою.	true
unit_attributes_bullet_text_resist_cold	Звиклі до холоду||Цей загін менше втомлюється під снігом.	true
unit_attributes_bullet_text_disciplined	Дисципліна||Цей загін не втрачає бойового духу, втративши воєначальника, а втікши, частіше повертається на поле бою.	true
unit_attributes_bullet_text_hide_forest	Маскування (ліс)||Цей загін може ховатися в лісі, поки ворог не підійде зовсім близько.	true
unit_attributes_bullet_text_fatigue_res	Невтомні||Цей загін менше за інших схильний до втоми.	true
unit_attributes_bullet_text_hide_grass	Маскування (трава)||Ці бійці можуть залягти у високій траві і залишатися непоміченими, поки ворог не підійде занадто близько.	true
unit_attributes_bullet_text_resist_heat	Звиклі до спеки||Цей загін менше втомлюється в пустелі.	true
unit_attributes_bullet_text_hide_building	Маскування (будівлі)||Цей загін може ховатися в будівлях і залишатися непоміченим, поки ворог не підійде занадто близько.	true
unit_attributes_bullet_text_hide_scrub_and_forest	Маскування (ліс, кущі)||Цей загін може ховатися в лісі або в чагарнику, поки ворог не підійде зовсім близько.	true
unit_attributes_bullet_text_scare_horse	Лякають коней||Цей загін лякає коней, змушуючи їх тікати.	true
unit_attributes_bullet_text_immune_cav_penalty	Неуразливі для списоносців||Списи не дають переваги в бою проти цих вершників.	true
unit_attributes_bullet_text_encourages	Натхнення||Цей загін своєю присутністю підвищує бойовий дух найближчих союзників.	true
unit_attributes_bullet_text_climb_fast	Швидко підіймаються||Ці бійці підіймаються на стіни вдвічі швидше, ніж звичайні загони.	true
unit_attributes_bullet_text_mounted_fire_parthian	Парф'янська стрільба||Цей загін може стріляти відразу в усі боки, не тільки перед собою.	true
unit_attributes_bullet_text_scare_immune	Безстрашні||Цей загін не піддається впливу ворогів, що вселяють страх.	true
