key	text	tooltip
#Loc;1;text/db/unit_castes.loc		
unit_castes_localised_name_mk_noble_burghers	Знатні військові професіонали	true
unit_castes_localised_name_medium_aux	Середні війська союзників	true
unit_castes_localised_name_light_merc	Легкі найманці	true
unit_castes_localised_name_heavy_aux	Важкі війська союзників	true
unit_castes_localised_name_generic	Звичайні війська	true
unit_castes_localised_name_mk_peasant	Новобранці	true
unit_castes_localised_name_heavy_merc	Важкі найманці	true
unit_castes_localised_name_mk_burgher	Міське ополчення	true
unit_castes_localised_name_light_aux	Легкі війська союзників	true
unit_castes_localised_name_mk_burgher_peasant	Професійні солдати	true
unit_castes_localised_name_mk_peasant_burgher	Професійні солдати	true
unit_castes_localised_name_mk_oar_artillery	Далекобійне веслове судно	true
unit_castes_localised_name_mk_slave	Підневільні солдати	true
unit_castes_localised_name_mk_noble	Знать	true
unit_castes_localised_name_mk_noble_tribesmen	Знатні прикордонники	true
unit_castes_localised_name_mk_sail_artillery	Далекобійне вітрильне судно	true
unit_castes_localised_name_mk_sail_large	Велике вітрильне судно	true
unit_castes_localised_name_mk_artillery	Артилерія	true
unit_castes_localised_name_mk_mercenary	Найманці	true
unit_castes_localised_name_mk_sail_small	Мале вітрильне судно	true
unit_castes_localised_name_mk_religious_military_order	Духовно-лицарський орден	true
unit_castes_localised_name_mk_tribesmen_peasant	Прикордонники	true
unit_castes_localised_name_mk_foreigner	Іноземний легіон	true
unit_castes_localised_name_mk_tribesmen	Тубільні воїни	true
unit_castes_localised_name_mk_oar_large	Велике веслове судно	true
unit_castes_localised_name_light	Легкі війська	true
unit_castes_localised_name_mk_oar_small	Мале веслове судно	true
unit_castes_localised_name_mk_peasant_tribesmen	Прикордонники	true
unit_castes_localised_name_medium	Середні війська	true
unit_castes_localised_name_medium_merc	Середні найманці	true
unit_castes_localised_name_heavy	Важкі війська	true
