key	text	tooltip
#Loc;1;text/db/unit_description_historical_texts.loc		
unit_description_historical_texts_text_att_lon_light_tra_ger	The byrding was a small coastal trading vessel, more manoeuvrable than the knarr or other, larger longships. This meant that they were more reliant on oars than their heavier brethren but were still light enough to be pulled onto the shore. The waters around Denmark were, and still are, incredibly treacherous; it is estimated that they contain 20,000 ship wrecks dating from the Stone Age up to the present day. These include a number of longships discovered in the harbour at Roskilde that now reside in the Viking Ship Museum. One of these is called Skuldelve 3 and is thought to be an excellent example of the byrding.	true
unit_description_historical_texts_text_att_merc_mar_des_desert_corsairs_long	Naval warfare in the ancient world was just another way for infantry to fight one another. The earliest documented naval battles are those of ancient China, 'grapple and hook' battles where boarding operations and close-quarters combat decided the victor. During the Second Punic War, Rome famously broke Carthage's mastery of the waves by creating the 'corvus' - a bridge that allowed its soldiers to board and fight. The distinction, then, in antiquity, between fighting on land and at sea was small, yet chiefly a matter of 'sea legs' - maintaining balance whilst toppling your opponent.	true
unit_description_historical_texts_text_att_lib_light_art_cel	Small rowing boats were useful for fishing and small-scale military actions, enabling troops to silently row ashore and surprise the enemy. In the northern part of Celtic Britain, the most common form of boat for such uses was a small vessel of leather skins stretched over and bound to a wooden frame. Known by various names depending on its makers country of origin, it was generally called a 'currach' or 'curragh' in Ireland or Scotland, but sometimes 'naomhog' - literally 'little female saint' - or 'canoe' in the west of the country. In Wales, the Isle of Man, and along the northwestern coasts of England the same boat was known as a 'coracle'. Larger versions were also constructed, using planks but otherwise following the same methods and known as 'curach adhmaid' or 'bad iomartha', which mean, somewhat unimaginatively, 'wooden currach' and 'rowing boat' respectively.	true
unit_description_historical_texts_text_att_dro_heavy_mis_dbl_sco_eas	The word 'dromon' is derived from the Greek word ‘dromao’, which means ‘to run’, and was applied to light, swift vessels built in a variety of forms and sizes. At the very minimum a dromon had a crew of 200; 50 men to the lower bank of oars, 100 on the oars above, and 50 combat marines. It is thought that lateen sails were used rather than square ones, and that for some reason it was armed with a spur at the bow of the ship, rather than a ram. Some were reported to carry pipe-like weapons used to project Greek Fire onto enemy ships.	true
unit_description_historical_texts_text_att_merc_mar_ger_germanic_artillery_crew_long	Naval warfare in the ancient world was just another way for infantry to fight one another. The earliest documented naval battles are those of ancient China, 'grapple and hook' battles where boarding operations and close-quarters combat decided the victor. During the Second Punic War, Rome famously broke Carthage's mastery of the waves by creating the 'corvus' - a bridge that allowed its soldiers to board and fight. The distinction, then, in antiquity, between fighting on land and at sea was small, yet chiefly a matter of 'sea legs' - maintaining balance whilst toppling your opponent.	true
unit_description_historical_texts_text_att_lib_light_art_ger	Liburnians were small, compact galleys, ideal for patrolling the Roman coastlines. They were named after an Illyrian tribe who used similar vessels during their raids against the Romans. During the 3rd century AD the Roman Empire came under continued attack from increasingly stronger barbarian forces from the north and east. In the north, the Picts and the Scots raided Britain, the Saxons plundered from the north and in the east, the Goths appeared in ever-more-vast numbers  from the Black Sea region, due to pressure from nomadic tribes from the Steppes. By AD477 the Vandals had all but wiped out the Roman navy to take complete control of the Mediterranean, after which time the western sea was known as Wendelsae, or ‘Sea of the Vandals'.	true
unit_description_historical_texts_text_att_lon_light_tra_cel	For most of history the only way to move cargoes and people over long distances at any kind of reasonable speed was by water; this remained true until the invention of the railway. Trading vessels carried goods, following the coastlines for the most part, and up navigable rivers. The pattern of settlement and colonisation was almost entirely based on where ships could go. It was also considerably easier to move armies by sea than march them long distances. Trade ships were hired or requisitioned for such tasks, and this was an added incentive for generals to reach a quick conclusion to a campaign: war hurt trade, and used up ships needed for vital food supplies.	true
unit_description_historical_texts_text_cha_eng_fyrd_slingers	The sling is one of the oldest ranged weapons in existence, possibly dating back to before the Neolithic period. Its use throughout history is evidenced by depictions upon Assyrian and Egyptian reliefs, as well as those of later times, such as Trajan's Column and the Bayeux Tapestry. A sling is essentially a length of material (usually leather, but sometimes stretched pig bladder) with a cradle in the centre to hold a stone. The slinger then holds the ends and spins the sling to generate momentum. By extending his arm and simultaneously increasing the force of the spin, then releasing the stone at the precise moment, the slingshot can be flung a large distance - far greater than would be possible without it. Many young people grew up throwing stones found on the river beds of Europe, giving them a natural advantage when applying the skill to combat. Rocks and stones were in ready supply so, whilst spears may have needed repair after a battle, slingers were always well provisioned. Often people of low status in society, and therefore in battle, slingers would typically take up position behind veteran warriors, providing a blanket of slingshots to hamper the enemy when charging. In return, the veterans would use their shields to safeguard the slingers as they unleashed their missiles. Slingshot could be an effective weapon against close enemy formations or cavalry.	true
unit_description_historical_texts_text_att_nom_steppe_mounted_brigands_long	Far from being simple, ignorant barbarians, the various steppe tribes had a great cultural wealth. Originally occupying the land between the Caspian Sea and the northern shores of the Black Sea, many steppe peoples migrated westwards from the 6th century BC onwards. By geographical location they were the first to come into contact with the marauding, murderous Huns. All steppe warriors were exceptional cavalry, highly skilled with composite-recurve bows and deadly hand-to-hand fighters. Grave goods suggest that steppe women were as warlike as their men, and probably fought alongside them in battle. This may well be the origin of the Greek myths of Amazon warrior women.	true
unit_description_historical_texts_text_cha_eng_thegns	As retainers of the Anglo-Saxon king, 'thegns' were de-facto noblemen, though in reality they ranked between freemen and those of actual noble blood. These men were, and had always been, warriors, rallying to their king's side during wartime to command the army. Some thegns became more powerful still, being directly involved with the running of the Saxon state in addition to their military duties. Despite this, thegns still formed the backbone of Anglo-Saxon armies and as such were better trained and equipped than the common, levied fyrd. In the past, their equivalent - the 'gesith' - were the tribal leader's personal companions, his stalwart retainers, champions, and defenders on the battlefield. Eventually, following the emergence of the European kingdoms during the Dark Ages, their services were rewarded with lands and titles as a precursor to the concept of fealty and vassalage.	true
unit_description_historical_texts_text_att_mar_est_elite_sassanid_archer_marines_long	Naval warfare in the ancient world was just another way for infantry to fight one another. The earliest documented naval battles are those of ancient China, 'grapple and hook' battles where boarding operations and close-quarters combat decided the victor. During the Second Punic War, Rome famously broke Carthage's mastery of the waves by creating the 'corvus' - a bridge that allowed its soldiers to board and fight. The distinction, then, in antiquity, between fighting on land and at sea was small, yet chiefly a matter of 'sea legs' - maintaining balance whilst toppling your opponent.	true
unit_description_historical_texts_text_att_cel_caledonian_axemen_long	Celtic warriors were ideally equipped to hack through even heavily-armoured foes. Their axes took one of two forms: one-handed axes were typical, and the most practical, but two-handed axes were also used. In comparison to swords, axes were cheap to make, and were effective against chainmail, as a blow could still shatter bone and crush the organs beneath the armour. They could also be used to pull aside shields, or hack them apart. Like other Celtic troops, the lightly-armoured axemen relied on their own shields for defence. There was a long tradition, perhaps dating as far back as the Stone Age, of veneration for axes and hammers in Celtic cultures. Although both were associated with strength, axes in particular were used as grave goods and even depicted on coins celebrating victories.	true
unit_description_historical_texts_text_cha_eng_thegn_spearmen	The spear has been around almost as long as people have, having been employed for hunting and fishing long before war. A versatile weapon, it could be held in either one or both hands and used for thrusting in melee, throwing during skirmishes, or braced in formation to stop cavalry charges. The spear was the most commonly-used weapon through antiquity and remained so into the Middle Ages; elite warriors had the time to learn and master the polearm, yet the common man could also be taught the basics of handling one in battle in short space of time. Unearthed Saxon spears have broad heads with wings along the blade to stop enemy swords and spears travelling down it, whereas others are thinner and longer to allow for deeper penetration when stabbing opponents. Naturally, the development of heavy cavalry led to longer, heavier variants (the lance) and then to pikes – which could be braced to unseat horsemen or massed to create an almost impenetrable wall. Most spearmen of the period also carried a shield to provide additional defence and make spear or shield walls, which were virtually impenetrable and particularly effective against cavalry charges.	true
unit_description_historical_texts_text_bel_rom_hippo_toxotai	'Equites sagittarii' is Latin for 'horse archers', specialist mounted units armed with bows who served as auxiliary units in the Roman army from the time of Augustus. This, like many adaptations made to the army's original model, was entirely due to contact with the powerful armies of the eastern empires - Parthia and later, Sassanid Persia. Horse archers were, therefore, far more likely to be found serving in the east, where they could match their opponents tactic for tactic in lightning runs and skirmishing. Additionally, the type of glue used in their composite bows would fail in the west due to its predominantly damp climate. Following the decline and collapse of the Western Empire, the Eastern Roman army continued to go from strength to strength, but due to its location there was, day to day, a gradual shift from the Latin language to Greek, so equites sagittarii became ‘hippo-toxotai’ – literally ‘horse archers’ in Greek.	true
unit_description_historical_texts_text_cha_spa_noble_skirm	Until very recently, when mechanisation reduced the amount of close-quarters fighting required, skirmishers were used to harass, never giving the enemy pause to regroup and distracting them until melee troops or cavalry could pin them down. In the ancient world, particularly among the 'civilised' states of the Mediterranean, many skirmishers were considered highly skilled, with places such as Crete and the Balearic Islands specialising in producing first class archers, slingers and javelineers. In the north and west of Europe, such weapons were generally thought considered cowardly - only fighting hand-to-hand in melee carried the required amount of honour and glory with it. As antiquity gave way to the Middle Ages, and tribal society subsided to the more hierarchical feudal system, good skirmishers were highly valued once again. Aside from the longbow, the javelin remained their favoured weapon, particularly when fighting from horseback; a rider could hurl his weapon at the enemy and be far away before they had time to react. If they were foolish enough to turn and face the threat, they could be blinded to an infantry or cavalry charge bearing down upon them.	true
unit_description_historical_texts_text_att_ger_godan's_warlord_long	Although thought spurious by the historian Paul the Deacon, the tale of the Winnili tribe is nevertheless the earliest account of the Langobard's connection with Godan (better known to us as Odin). When facing the Vandals, who entreated him for victory, the god told them that he would grant victory to the first army he saw on the day of battle. When the day came, Godan spotted the Winnili first, and asked "who are those long beards?" Following their victory, they became known as Langobards - literally 'Longbeards' - from that point on. In tribute, their 'wolf warriors' were impassioned by the 'dance' of Godan. Tribal elders imbued themselves with the spirit of the god in order to inspire younger warriors to feats of greatness in his name.	true
unit_description_historical_texts_text_cha_vik_sword_hirdmen	Originally a rare weapon of quite some prestige, the sword became more common in the early Middle Ages, with blades produced on a larger scale to more standardised specifications. The spatha of the Roman period became the basis of Viking and Carolingian longswords. These single-handed blades, with triangular pommels and short grips, were widely used, not only by the Viking Danes but right across Europe. Swords during the era were chiefly produced by the Franks and obtained by the Danes through either trade or, as is more likely, raiding, pillaging and looting of Frankish possessions. Although they were all of a roughly similar length, there were variances of several inches as, although they were more speedily produced, mass-production of arms and armour, and the standardisation and quality control that went with it, was still a rarity at that time.	true
unit_description_historical_texts_text_cha_byz_levy_marines	In the past, naval warfare was just another way for infantry to fight one another. The earliest documented naval battles are those of ancient China, 'grapple and hook' battles where boarding operations and close-quarters combat decided the victor. During the early Middle Ages, the Frankish navy was of no real distinction, yet Charlemagne did maintain a sizeable navy to defend against Viking raids, which was something other kingdoms generally failed to do. At the time, the distinction between fighting on land and at sea was small, yet chiefly a matter of 'sea legs' - maintaining balance whilst toppling your opponent.	true
unit_description_historical_texts_text_att_merc_mar_des_desert_heavy_corsairs_long	Naval warfare in the ancient world was just another way for infantry to fight one another. The earliest documented naval battles are those of ancient China, 'grapple and hook' battles where boarding operations and close-quarters combat decided the victor. During the Second Punic War, Rome famously broke Carthage's mastery of the waves by creating the 'corvus' - a bridge that allowed its soldiers to board and fight. The distinction, then, in antiquity, between fighting on land and at sea was small, yet chiefly a matter of 'sea legs' - maintaining balance whilst toppling your opponent.	true
