key	text	tooltip
#Loc;1;text/db/unit_description_short_texts.loc		
unit_description_short_texts_text_att_merc_cel_celtic_cavalry_raiders_short	Перемога несеться на коні.	true
unit_description_short_texts_text_cha_bre_armorican_knights	Коли Британія занурилася у варварство, її знать знайшла собі нові володіння за протокою.	true
unit_description_short_texts_text_cha_sax_scout_cav	Йдучи попереду основних військ, ці люди служать очима їх командирів.	true
unit_description_short_texts_text_att_des_elite_nubian_archers_short	Нубійський лук - справжній витвір мистецтва.	true
unit_description_short_texts_text_att_ger_elite_amazon_archers_short	Про майстерність цих войовниць складають легенди.	true
unit_description_short_texts_text_att_mar_ger_frankish_marines_short	Щоб битися на палубі, потрібні майстерність, відвага і звичка до морської хитавиці.	true
unit_description_short_texts_text_att_des_es_rumha_skirmishers_short	Озброєні дротиками застрільники з місцевих племен, які знають рідні землі як свої п'ять пальців.	true
unit_description_short_texts_text_att_mar_cel_ebdani_heavy_marauders_short	Щоб битися на палубі, потрібні майстерність, відвага і звичка до морської хитавиці.	true
unit_description_short_texts_text_att_merc_cel_mounted_spear_raiders_short	Бойовий кінь удесятерить силу удару спису.	true
unit_description_short_texts_text_att_cel_celtic_nobles_short	Тільки найсильніший у бою гідний влади.	true
unit_description_short_texts_text_att_nom_steppe_cataphracts_short	Ця важка кіннота, як і її східний аналог, славиться своїм шаленим натиском.	true
unit_description_short_texts_text_att_mar_des_desert_corsairs_short	Щоб битися на палубі, потрібні майстерність, відвага і звичка до морської хитавиці.	true
unit_description_short_texts_text_att_des_es_almaqah’s_lancers_short	Ми - племена Місяця!	true
unit_description_short_texts_text_att_mar_rom_western_ballista_marines_short	Щоб битися на палубі, потрібні майстерність, відвага і звичка до морської хитавиці.	true
unit_description_short_texts_text_att_rom_comes_short	У своїй царині коміт має майже абсолютну владу.	true
unit_description_short_texts_text_att_rom_protectores_domestici_short	Майбутні полководці служать імператору вже зараз.	true
unit_description_short_texts_text_att_dro_heavy_mel_dbl_ft_er	Важкий бойовий дромон - справжній підкорювач хвиль.	true
unit_description_short_texts_text_att_ger_protectores_defectors_short	Щоб стати справжнім римлянином, мало надіти римський плащ.	true
unit_description_short_texts_text_att_cel_kerns_short	Ці воїни компенсують брак обладунків лютою жорстокістю.	true
unit_description_short_texts_text_att_mar_ger_elite_ostrogoth_archer_marines_short	Щоб битися на палубі, потрібні майстерність, відвага і звичка до морської хитавиці.	true
unit_description_short_texts_text_cha_sax_spear_band	Спис - найуніверсальніша і найефективніша зброя. Без нього неможлива армія.	true
unit_description_short_texts_text_mk_byz_spatharioi	Кращі з кращих солдатів і офіцерів, готових віддати життя за імператора. -- Спатарії були військовим підрозділом, сформованим в VII столітті з солдатів і офіцерів, які відзначилися своєю відданістю і вміннями. Цей підрозділ використовувався в якості палацової охорони імператора до початку XI століття, а кожен його солдат був добре навчений володінню довгим мечем-спатою і оснащений найкращою зброєю та обладунками, які могла запропонувати імперія. Пізніше, однак, термін використовувався тільки в якості почесного звання, а підрозділ, ймовірно, продовжував існувати вже під іншою назвою.	true
unit_description_short_texts_text_att_nom_first_wave_lancers_short	Кращі кінні списники гунів, одягнені у важкі обладунки.	true
unit_description_short_texts_text_mk_hos_turcopoles	Брати Ордену ніколи не були досить численні, щоб стати чимось більшим, ніж просто ядром будь-якого гарнізону або контингенту. Більшість чоловіків у будь-яких підрозділах госпітальєрів були найманцями, багато з яких були туркополами, легкими вершниками-тубільцями, або європейцями, екіпірованими аналогічним чином. ( Jonathan Riley-Smith, The Knights Hospitaller in the Levant, c.1070–1309. Palgrave MacMillan (2012) p. 84)	true
unit_description_short_texts_text_mk_ayy_qaraghulam	Основу війська Аюбідів становили курдські та тюркські кінні лучники. Карагулямами називалися тюркські кінні лучники-гулями головної армії султана: у 1181 році у війську Салах ад-Діна їх налічувалося 1153 особи. (Darakshan Anjum, "State and Civilization Under the Syro-Egyptian Ayyubids (1171-1250). Aligarh Muslim University (2002) p. 72) Слід зазначити, що «кара», тобто «чорний» в назві карагулямів не означає чорношкірих жителів Африки, оскільки Саладін розпустив стару армію Фатимідів, а стрільба з лука верхи на коні була властива саме тюркам. Швидше за все, частка «кара» вказувала на їх північне походження, оскільки північ у традиційній для тюрків колірній диференціації сторін світу позначалася чорним кольором.	true
unit_description_short_texts_text_mk_ayy_mamluk_khassakiya	Мамлюки-хассакія були елітним загоном охоронців султана і добірним почтом. Більшість мамлюкських емірів досягли свого становища завдяки службі в лавах хассакії. Аль-Калкашанді додає, що їхньою відмінною рисою була парчаста пов'язка тіраз, а також те, що їм дозволялося носити свої мечі в присутності султана, навіть у приватному порядку. Щоб служити в загоні хассакія, потрібно бути муштарават, тобто мамлюком, купленим і звільненим правлячим султаном, і виділитися з лав джулбан. Їх кількість змінювалася з плином часу. Спочатку їх чисельність коливалася від 24 до 40 осіб, потім становила 80, а після зросла до 400. А за твердженнями одного джерела під час правління Ан-Насіра Фараджа на початку XV століття їх число зросло аж до 1000 осіб. Його наступники знову скоротили їх число до 80, а потім і до 40 осіб. У 1503 році, за правління Кансуха аль-Гаурі, їх чисельність збільшилася до 800, і до 1200 в 1517 році, коли мамлюки зазнали поразки від османів. (David Ayalon, Studies on the Structure of the Mamluk Army I, Bulletin of the School of Oriental and African Studies, University of London, Vol.15, No. 2 (1953), pp. 213-215)	true
unit_description_short_texts_text_mk_mus_kurdish_cav	Представники курдських племен були відмінними вершниками і воювали в складі як важкої, так і легкої кінноти. Легкі вершники майже не носили обладунків і озброювалися маленькими шкіряними або плетеними щитами - типовими для швидких східних вершників. Дротики були основною зброєю кінних застрільників і нальотників.	true
unit_description_short_texts_text_att_merc_est_persian_scouts_short	Розвідники - очі армії, які стежать, щоб удар кулака був точним і сильним.	true
unit_description_short_texts_text_cha_sax_seax_band	Скрамасакс - коротка, але смертоносна зброя. Рани від неї загоюються дуже погано.	true
unit_description_short_texts_text_att_des_desert_bowmen_short	Пустеля - ідеальне місце для стрільби з лука. Ні вітру, ні дерев, ні пагорбів...	true
unit_description_short_texts_text_cha_spa_noble_skirm	Ні на мить не залишати ворога в спокої - ось кредо застрільника.	true
unit_description_short_texts_text_att_merc_rom_equites_dalmatae_short	Римська кіннота, розгорнута на Балканах для відбиття загрози кочівників.	true
unit_description_short_texts_text_mk_oar_galea_large_t2_byz	Італійська галея була одним з етапів розвитку візантійських дромонів, а з встановленням італійського морського панування стала домінуючим типом бойових кораблів у Середземномор'ї. Інноваціями, що відрізняли його від старіших конструкцій середземноморського веслового судна, була система alla sensile, при якій веслярі розміщувалися на одній банці. Це було досягнуто за допомогою нової техніки веслування і повторного введення виносної опори, званої apostis.	true
unit_description_short_texts_text_att_lib_light_dbl_art_rom	Цей корабель має гідне поєднання маневреності і вогневої потужності.	true
unit_description_short_texts_text_mk_mak_bucelarii	Царям Мукурри вміло надає підтримку цей загін витязів, одягнених у помітний одяг змішаного африкано-візантійського стилю.	true
unit_description_short_texts_text_cha_lom_guardsmen	Що б не сталося, ці воїни не залишать свого посту.	true
unit_description_short_texts_text_cha_fra_guardsmen	Ці вартові, озброєні списами, будуть захищати свого ватажка до останнього подиху.	true
unit_description_short_texts_text_mk_mus_sipahsalar	Сипахсалар був високопоставленим офіцером і вів у бій велику кількість солдатів. Польових командирів традиційно супроводжували охоронці («джандари»). Аскарі на службі у такої особи були, ймовірно, гулями, добре озброєні та заковані в броню, і, найголовніше, віддані.	true
unit_description_short_texts_text_cha_pap_guardsmen	Ці люди стежать, щоб ніхто не заподіяв шкоди наміснику Господа.	true
unit_description_short_texts_text_att_des_desert_legionary_defectors_short	Ці воїни по-справжньому вірні тільки собі і дзвінкій монеті.	true
