key	text	tooltip
#Loc;1;text/db/unit_description_strengths_weaknesses_texts.loc		
unit_description_strengths_weaknesses_texts_text_mk_caroccio	Карроччо||	true
unit_description_strengths_weaknesses_texts_text_mk_inf_mel_renown+num-cost	Прославлений загін||Відмінні здібності||	true
unit_description_strengths_weaknesses_texts_text_mk_inf_mis-num+stat	Прославлений загін||Відмінні здібності||	true
unit_description_strengths_weaknesses_texts_text_transport	Дуже низька міцність||Дуже низька швидкість||Мала сила тарана	true
unit_description_strengths_weaknesses_texts_text_mk_cav_mis_renown+num-cost	Прославлений загін||Відмінні здібності||	true
unit_description_strengths_weaknesses_texts_text_mk_inf_hybrid-num	Здатні вести як ближній, так і дальній бій||	true
unit_description_strengths_weaknesses_texts_text_mk_kharash	Губка для стріл||Живий щит||Беззбройні||	true
unit_description_strengths_weaknesses_texts_text_mk_warwagon	Бойові вози	true
unit_description_strengths_weaknesses_texts_text_mk_cav_mel_merc-num	Найманці||Досвідчені фахівці||Дорогі||Можуть бути недостатньо надійними||Рідкісний загін||Зменшена кількість бійців у загоні||Коштують недешево	true
unit_description_strengths_weaknesses_texts_text_two	Дуже висока міцність||Дуже малий розмір команди||Висока швидкість||Слабкий таран||Добрий абордаж	true
unit_description_strengths_weaknesses_texts_text_polybolos	Висока завдана шкода||Добра точність||Середній радіус||Дуже висока швидкість стрільби	true
unit_description_strengths_weaknesses_texts_text_spear_avg	Сильні в обороні||Низька завдана шкода, середнє пробивання броні||Середня атака||Нормальний бойовий дух	true
unit_description_strengths_weaknesses_texts_text_scorpio_hft_seven	Виняткова міцність||Величезна команда||Дуже низька швидкість||Потужний таран||Добрий абордаж||Чудові стрільці	true
unit_description_strengths_weaknesses_texts_text_mk_inf_mis_merc-num	Найманці||Досвідчені фахівці||Дорогі||Можуть бути недостатньо надійними||Рідкісний загін||Зменшена кількість бійців у загоні||Коштують недешево	true
unit_description_strengths_weaknesses_texts_text_axemen_good	Сильна атака||Середній захист||Низька завдана шкода, але добре пробивання броні||Високий бойовий дух	true
unit_description_strengths_weaknesses_texts_text_four	Середня міцність||Середня команда||Середня швидкість||Середній таран||Середній абордаж	true
unit_description_strengths_weaknesses_texts_text_five	Висока міцність||Середня команда||Середня швидкість||Середній таран||Поганий абордаж||Добрі стрільці	true
unit_description_strengths_weaknesses_texts_text_heavy_raider	Дуже висока міцність||Середня команда||Середня швидкість||Середній таран||Дуже добрий абордаж	true
unit_description_strengths_weaknesses_texts_text_two_halfer	Низька міцність||Середня команда||Невловимий||Слабкий таран||Поганий абордаж||Середні стрільці	true
unit_description_strengths_weaknesses_texts_text_mk_inf_hybrid_renown	Прославлений загін||Відмінні здібності||Здатні вести як ближній, так і дальній бій||	true
unit_description_strengths_weaknesses_texts_text_double_scorpio_five	Висока міцність||Середня команда||Середня швидкість||Середній таран||Поганий абордаж||Відмінні стрільці	true
unit_description_strengths_weaknesses_texts_text_melee_avg	Сильна атака||Середній захист||Середня шкода, погане пробивання броні||Нормальний бойовий дух	true
unit_description_strengths_weaknesses_texts_text_mk_inf_mis_renown+num-cost	Прославлений загін||Відмінні здібності||	true
unit_description_strengths_weaknesses_texts_text_mk_cav_mel+num+stat	Прославлений загін||Відмінні здібності||	true
unit_description_strengths_weaknesses_texts_text_mk_inf_hybrid+stat	Здатні вести як ближній, так і дальній бій||Усталені традиції||	true
unit_description_strengths_weaknesses_texts_text_mk_cav_mel_renown+num-cost	Прославлений загін||Відмінні здібності||	true
unit_description_strengths_weaknesses_texts_text_mk_inf_all+num-cost	Усталені традиції||Полегшений найм внаслідок традицій||	true
unit_description_strengths_weaknesses_texts_text_mk_inf_all-num+cost	Нетрадиційні для фракції||Рідкісний загін||Зменшена кількість бійців у загоні||Коштують недешево	true
unit_description_strengths_weaknesses_texts_text_mk_inf_hybrid_renown_merc	Прославлений загін||Відмінні здібності||Найманці||Досвідчені фахівці||Дорогі||Можуть бути недостатньо надійними||Здатні вести як ближній, так і дальній бій||	true
unit_description_strengths_weaknesses_texts_text_mk_all_+cost	Нетрадиційні для фракції||Збільшена вартість	true
unit_description_strengths_weaknesses_texts_text_mk_all_-cost	Усталені традиції фракції||Дешевше обходяться для фракції	true
unit_description_strengths_weaknesses_texts_text_one_halfer	Дуже низька міцність||Малий розмір команди||Дуже висока швидкість||Слабкий таран||Дуже поганий абордаж||Погані стрільці	true
unit_description_strengths_weaknesses_texts_text_javelinmen	Малий радіус||Висока швидкість стрільби||Дуже високі завдані пошкодження і пробивання броні||Дуже слабкі в ближньому бою||Дуже низький бойовий дух	true
unit_description_strengths_weaknesses_texts_text_placeholder	placeholder	true
unit_description_strengths_weaknesses_texts_text_harpax_six	Дуже висока міцність||Великий розмір команди||Низька швидкість||Потужний таран||Нестримний абордаж	true
unit_description_strengths_weaknesses_texts_text_mk_cav_mis+num+stat	Прославлений загін||Відмінні здібності||	true
unit_description_strengths_weaknesses_texts_text_mk_cav_mis-num+stat	Прославлений загін||Відмінні здібності||	true
unit_description_strengths_weaknesses_texts_text_elephant_armoured	Дуже сильний натиск||Висока завдана шкода||Дуже багато очок здоров'я||Високий бойовий дух	true
unit_description_strengths_weaknesses_texts_text_pike_good	Дуже сильні в обороні||Низька завдана шкода, середнє пробивання броні||Середня атака||Високий бойовий дух||Вкрай вразливі не у фалангах	true
unit_description_strengths_weaknesses_texts_text_pike_poor	Середні показники в обороні||Низька завдана шкода, середнє пробивання броні||Середня атака||Низький бойовий дух||Вкрай вразливі не у фалангах	true
unit_description_strengths_weaknesses_texts_text_melee_poor	Середня атака||Слабкий захист||Середня шкода, погане пробивання броні||Низький бойовий дух	true
unit_description_strengths_weaknesses_texts_text_melee_good	Дуже сильна атака||Середній захист||Середня шкода, погане пробивання броні||Високий бойовий дух	true
unit_description_strengths_weaknesses_texts_text_mk_cav_mel+stat-num	Прославлений загін||Відмінні здібності||	true
unit_description_strengths_weaknesses_texts_text_mk_inf_mel_merc-num	Найманці||Досвідчені фахівці||Дорогі||Можуть бути недостатньо надійними||Рідкісний загін||Зменшена кількість бійців у загоні||Коштують недешево	true
unit_description_strengths_weaknesses_texts_text_fire_pot_two	Дуже низька міцність||Дуже маленька команда||Висока швидкість||Дуже велика початкова сила тарана||Добрий абордаж	true
unit_description_strengths_weaknesses_texts_text_mk_all_mel_renown	Прославлений загін||Відмінні здібності||	true
unit_description_strengths_weaknesses_texts_text_mk_all_mis_renown	Прославлений загін||Відмінні здібності||	true
unit_description_strengths_weaknesses_texts_text_archer_cav	Великий радіус||Середня швидкість стрільби||Швидке переміщення||Висока завдана шкода, але погане пробивання броні||Дуже слабкі в ближньому бою||Дуже низький бойовий дух	true
unit_description_strengths_weaknesses_texts_text_mk_inf_hybrid+num+stat-cost	Прославлений загін||Відмінні здібності||	true
