key	text	tooltip
#Loc;1;text/db/vo_fmv_texts.loc		
vo_fmv_texts_text_cha_win_lombards	Європа була розколота. |Ведені лжепророками і терзані примхами незліченних королів, |люди стогнали під гнітом війни, несправедливості |і невігластва. Але ви скинули тиранів. |Міць вашої зброї зруйнувала їхні трони і збудувала |на їхньому місці істинну віру, справедливість і мир. |Тепер хор народів славить вас - |першого справжнього короля Європи!	true
vo_fmv_texts_text_att_seal_3	Вони готувалися до війни. |Світ занурювався в темряву. |Земля замерзала, а в шумі вітру лунав шепіт смерті. |«Я поглянув, і ось, кінь вороний, |і на ньому вершник, що має міру в руці своїй...» |Аттіла народився. |Перед ним схилилися всі: |він був здатний поглинути землю і підпалити самі корені гір. |Аттіла народився з темряви і відчаю.	true
vo_fmv_texts_text_att_seal_5	Залиш надію. |Тільки віра може врятувати їх. |Праведники кричали в страху: |«Не слухайте лжепророків і єретиків! Гнайте їх геть, бо вони накликають на нас бич Божий!» |«І коли Він зняв п'яту печатку, |я побачив душі вбитих за слово Боже...» |Немає пощади грішникам.	true
vo_fmv_texts_text_att_seal_4	Темрява і відчай: |тінь, що затьмарила сонце аж до самого півдня. |«І ось, кінь блідий, |і на ньому вершник, ім'я якому “смерть”; |і пекло слідувало за ним...» |Його лють пожирала світ, немов вогонь, |а він з посмішкою спостерігав за пожежею. |Орда поглянула на Аттілу - і світ здригнувся. |Залиш надію.	true
vo_fmv_texts_text_att_seal_6	Немає пощади грішникам, |бо вони слабкі. |Врятуй душі наші |і позбав нас від темряви вічної. |"І коли Він зняв шосту печатку, |сонце стало похмурим як волосяниця, |а місяць став як кров..." |Захисти їх. |Даруй їм свою силу. |Година відплати настала.	true
vo_fmv_texts_text_cha_win_asturias	Європа була розколота. |Ведені лжепророками і мучені примхами незліченних королів, |люди стогнали під гнітом війни, несправедливості |і невігластва. Але ви скинули тиранів. |Могутність вашої зброї зруйнувала їхні трони і збудувала |на їхньому місці істинну віру, справедливість і мир. |Тепер хор народів славить вас - |першого справжнього короля Європи!	true
vo_fmv_texts_text_cha_intro	До тебе було чимало королів. ||Вони повставали з бруду. |Вони ризикували всім, що любили. |Щоб бути першими на словах і на ділі, надихаючи простих людей. |Думаєш, ти інший? |Ти обраний? |Хто дав тобі право на владу? |Не народ. |Не Бог. |Ти. Ти сам.	true
vo_fmv_texts_text_belisarius_intro	Кращого кандидата не можна і уявити...|Вирвати Західну Римську імперію з рук варварів?|Піднести її імператору на блюдечку?|Ці ігри повинні славити тебе!|Дізнавшись про плани Юстиніана щодо тебе, я не здивувався...|Адже ти був обраним охоронцем його дядька.|Не кажучи вже про твої успіхи в битві при Дарі...|Про придушення повстання «Ніка»...Ти останній з великих полководців, а твоя вірність не викликає сумнівів. Однак... руїни Риму дикі і непередбачувані. Далеко від наших стін може статися багато чого. Людина може озирнутися... і вирішити, що ці землі по праву належать їй. Удачі... Велісарій.	true
vo_fmv_texts_text_cha_win_westphalia	Європа була розколота. |Ведені лжепророками і терзані примхами незліченних королів, |люди стогнали під гнітом війни, несправедливості |і невігластва. Але ви скинули тиранів. |Міць вашої зброї розтрощила їхні трони і збудувала |на їхньому місці істинну віру, правосуддя і мир. |Тепер хор народів славить вас - |першого справжнього короля Європи!	true
vo_fmv_texts_text_cha_win_cordoba	Європа була розколота. |Ведені лжепророками і терзані примхами незліченних королів, |народи стогнали під гнітом війни, несправедливості |і невігластва. Але ви скинули тиранів. |Могутність вашої зброї розтрощила їхні трони і збудувала на їхньому місці |справжню віру, справедливість і мир. |Тепер хор народів славить вас - |першого справжнього халіфа Європи!	true
vo_fmv_texts_text_INTRO	О Рим, о вічне місто! |Я був свідком останніх днів. Через століття люди скажуть: |«Звідси почався занепад Риму». |Влада Сенату була відібрана у багатьох і віддана небагатьом. |Ті, кому було довірено золотий вінець, віддавалися всім можливим порокам. |Вони були жадібні, брехливі і підступні. Вони винищували і поневолювали народи. |Вони зраджували друзів і вбивали коханих. |І вони вважали це справедливим. |«І побачив я в десниці його книгу за сімома печатками, і перша з них була знята... |І ось, кінь білий, і на ньому вершник, що має лук; і вийшов він, щоб перемогти...» |Повітря наповнилося димом і кров'ю.	true
vo_fmv_texts_text_cha_win_mercia	Європа була розколота. |Ведені лжепророками і мучені примхами незліченних королів, |люди стогнали під гнітом війни, несправедливості |і невігластва. Але ви скинули тиранів. |Могутність вашої зброї зруйнувала їхні трони і збудувала |на їхньому місці істинну віру, справедливість і мир. |Тепер хор народів славить вас - |першого справжнього короля Європи!	true
vo_fmv_texts_text_white_huns_win	З крижаних схилів Гіндукуша ви дивилися на великі західні імперії. |Інші народи лякалися вигляду їхніх величезних фортець і незліченних воїнів у блискучих обладунках, але ви - ви жадали!|Ви обрушилися на родючі рівнини з єдиною метою. |Випатравши великі держави і вдосталь поживившись на їхніх нутрощах, |ви кров'ю вписали своє ім'я в аннали історії! |Воістину, білі гуни забарвили світ червоним!	true
vo_fmv_texts_text_cha_win_avars	Європа була розколота. |Ведені лжепророками і терзані примхами незліченних королів, |люди стогнали під гнітом війни, несправедливості |і невігластва. Але ви скинули тиранів. |Могутність вашої зброї розтрощила їхні трони і збудувала на їхньому місці |істинну віру, правосуддя і мир. |Тепер хор народів славить вас - |першого справжнього кагана Європи!	true
