key	text	tooltip
#Loc;1;text/db/vo_unit_texts.loc		
vo_unit_texts_text_Naval_UO_BA_Double_Click_Move_To_05att_cult_eastern	Get moving!	true
vo_unit_texts_text_Land_US_RO_Selection_Perioikoi_Hoplitesatt_cult_eastern	Perioikoi Hoplites!	true
vo_unit_texts_text_Naval_UO_BA_Double_Click_Move_To_04att_cult_eastern	Get to the oars!	true
vo_unit_texts_text_Naval_UO_BA_Double_Click_Move_To_03att_cult_eastern	Move out, double time!	true
vo_unit_texts_text_Naval_UO_BA_Double_Click_Move_To_02att_cult_eastern	Set a course!	true
vo_unit_texts_text_Naval_UO_BA_Double_Click_Move_To_01att_cult_eastern	Row, curse you!	true
vo_unit_texts_text_Land_US_RO_Selection_Hellenic_Royal_Guardatt_cult_eastern	Hellenic Royal Guard!	true
vo_unit_texts_text_Land_US_RO_Selection_Socii_Extraordinariiatt_cult_eastern	Socii Extraordinarii!	true
vo_unit_texts_text_Naval_UO_EA_Single_Click_Move_To_04att_cult_eastern	Move to position!	true
vo_unit_texts_text_Naval_UO_EA_Single_Click_Move_To_05att_cult_eastern	Get moving!	true
vo_unit_texts_text_Naval_UO_EA_Single_Click_Move_To_01att_cult_eastern	Move out!	true
vo_unit_texts_text_Naval_UO_EA_Single_Click_Move_To_02att_cult_eastern	To the oars!	true
vo_unit_texts_text_Naval_UO_EA_Single_Click_Move_To_03att_cult_eastern	Set the oars!	true
vo_unit_texts_text_Land_UO_EA_Double_Click_Move_To_Heightened_04att_cult_eastern	Double time!	true
vo_unit_texts_text_Land_UO_EA_Double_Click_Move_To_Heightened_05att_cult_eastern	Advance at speed!	true
vo_unit_texts_text_Land_UO_EA_Double_Click_Move_To_Heightened_02att_cult_eastern	Quick march!	true
vo_unit_texts_text_Land_UO_EA_Double_Click_Move_To_Heightened_03att_cult_eastern	At speed!	true
vo_unit_texts_text_Land_UO_BA_Single_Click_Move_To_Heightened_01att_cult_barbarian	Move out!	true
vo_unit_texts_text_Land_UO_BA_Single_Click_Move_To_Heightened_02att_cult_barbarian	Get moving!	true
vo_unit_texts_text_Land_UO_BA_Single_Click_Move_To_Heightened_03att_cult_barbarian	Warriors on me!	true
vo_unit_texts_text_Land_UO_BA_Single_Click_Move_To_Heightened_04att_cult_barbarian	Lets go!	true
vo_unit_texts_text_Land_UO_BA_Single_Click_Move_To_Heightened_05att_cult_barbarian	Follow me!	true
vo_unit_texts_text_Land_UO_EA_Double_Click_Move_To_Heightened_01att_cult_eastern	At the double!	true
vo_unit_texts_text_Land_SA_EA_Into_the_Breach_01att_cult_eastern	Fight, push through!	true
vo_unit_texts_text_Land_SA_EA_Into_the_Breach_03att_cult_eastern	Into the breach!	true
vo_unit_texts_text_Land_SA_EA_Into_the_Breach_02att_cult_eastern	The Gods carry us!	true
vo_unit_texts_text_Land_SA_RO_Brace!_Group_01att_cult_roman	Brace!	true
vo_unit_texts_text_Land_SA_RO_Brace!_Group_02att_cult_roman	Prepare  for impact!	true
vo_unit_texts_text_Land_SA_RO_Brace!_Group_03att_cult_roman	Brace yourselves!	true
